ID,Year,Month,Region,Exp Vol YTD (0000 parcels),Exp Revenue YTD (RMB '0000),Exp Vol (0000 parcels),Exp Revenue (RMB '0000)
2012/09,2012,9,Shanghai,40943.7,1259300,5685.8,175826.4
2012/09,2012,9,Shanxi,1884.1,40007.7,248.6,4711.9
2012/09,2012,9,Sichuan,9053.6,160847.7,1132.5,22073
2012/09,2012,9,Tianjin,4560.9,104940.6,573.2,12678.6
2012/09,2012,9,Tibet,232.2,8763.4,35.4,1307.2
2012/09,2012,9,Xinjiang,1619.9,47988.5,210.9,8770.9
2012/09,2012,9,Yunnan,2668.2,61300.5,419.8,10624.6
2012/09,2012,9,Zhejiang,53331.3,811171.4,7012.9,104171.4
2012/10,2012,10,Anhui,7455.6,114527.1,870.8,11998.5
2012/10,2012,10,Beijing,36891.7,595584.9,4044.3,62988.5
2012/10,2012,10,Chongqing Province,4326.7,82896.7,494.2,8362.5
2012/10,2012,10,Fujian,19488.7,337687.5,2426.7,37857.4
2012/10,2012,10,Gansu,1194.4,28003.4,120.1,3124.3
2012/10,2012,10,Guangdong,103265.4,1933516.9,12618.9,217823.7
2012/10,2012,10,Guangxi,3481.7,69688.1,373.7,6774.9
2012/10,2012,10,Guizhou,1413.4,32979.7,165.8,3772.4
2012/10,2012,10,Hainan,900.4,18729.2,88.8,1767.5
2012/10,2012,10,Hebei,9626.6,172066.3,1210.1,19100
2012/10,2012,10,Heilongjiang,2910.3,65876.1,312.9,7629.2
2012/10,2012,10,Henan,9645.8,151948,1160.2,17166
2012/10,2012,10,Hubei,9177.1,145620.4,1023,15485.4
2012/10,2012,10,Hunan,7594.4,130166.7,954.7,15129.8
2012/10,2012,10,Inner Mongolia,1940.1,46694.4,195.2,4936.1
2012/10,2012,10,Jiangsu,46965.6,825783.8,5826,88498.9
2012/10,2012,10,Jiangxi,4255,66793,478.3,7372.9
2012/10,2012,10,Jilin Province,3076.3,64508.2,346.1,7281.6
2012/10,2012,10,Liaoning,6175.5,145160.4,664.2,15054.1
2012/10,2012,10,Ningxia,2233.2,39564,278.1,4838.2
2012/10,2012,10,Qinghai,227,7983.8,25.3,1007.9
2012/10,2012,10,Shaanxi,4034.8,82606.8,434,8471.2
2012/10,2012,10,Shandong,19129.4,331782.4,2289.9,36927.4
2012/10,2012,10,Shanghai,46410.7,1423310.2,5467,164010.2
2012/10,2012,10,Shanxi,2288.3,46293.7,404.2,6286
2012/10,2012,10,Sichuan,10135,179538,1081.4,18690.3
2012/10,2012,10,Tianjin,5092.8,116775.9,531.9,11835.3
2012/10,2012,10,Tibet,264.6,10052.9,32.4,1289.5
2012/10,2012,10,Xinjiang,1855.5,54507.3,235.6,6518.8
2012/10,2012,10,Yunnan,2999.3,68456.7,331.1,7156.2
2012/10,2012,10,Zhejiang,61267.7,920857.1,7936.4,109685.7
2012/11,2012,11,Anhui,8580.9,130180.5,1125.3,15653.4
2012/11,2012,11,Beijing,42256.8,677166,5365.1,81581.1
2012/11,2012,11,Chongqing Province,4870.6,92437.4,543.9,9540.7
2012/11,2012,11,Fujian,22415.9,377672,2927.2,39984.5
2012/11,2012,11,Gansu,1331.6,31405.6,137.2,3402.2
2012/11,2012,11,Guangdong,118684.3,2198846.9,15418.9,265330
2012/11,2012,11,Guangxi,3907.1,78230.5,425.4,8542.4
2012/11,2012,11,Guizhou,1604.5,36937.2,191.1,3957.5
2012/11,2012,11,Hainan,1000.5,20754.8,100.1,2025.6
2012/11,2012,11,Hebei,11019.5,192685.2,1392.9,20618.9
2012/11,2012,11,Heilongjiang,3280,73852.6,369.7,7976.5
2012/11,2012,11,Henan,11109.1,171964.4,1463.3,20016.4
2012/11,2012,11,Hubei,10423.6,164303.6,1246.5,18683.2
2012/11,2012,11,Hunan,8780.1,146989.6,1185.7,16822.9
2012/11,2012,11,Inner Mongolia,2186.2,52453.5,246.1,5759.1
2012/11,2012,11,Jiangsu,55694.1,933747.7,8728.5,107963.9
